,Season,Date,Home Team,Away Team,Home Goals,Away Goals,Goal Difference,Pythag,Result,Home Odds,Away Odds,Draw Odds,Object,Home Atk,Home Def,Away Atk,Away Def
0,2017,2018-04-07,Augsburg,Bayern Munich,0.93,2.16,-1.23,0.1563873067534581,A,0.15384615384615385,0.6666666666666666,0.23094688221709006,<__main__.CalcTeamRatings object at 0x7f936ba193d0>,1.33925,1.25175,1.79125,0.9597500000000001
1,2017,2017-09-30,Augsburg,Dortmund,1.22,2.07,-0.8499999999999999,0.25780749311485635,A,0.13333333333333333,0.6944444444444444,0.2222222222222222,<__main__.CalcTeamRatings object at 0x7f936b8c7c90>,1.3992777777777778,1.4356111111111112,1.7466111111111111,1.0303333333333333
2,2017,2018-02-04,Augsburg,Eintracht Frankfurt,2.76,0.33,2.4299999999999997,0.9859056493884683,H,0.425531914893617,0.3225806451612903,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936b9d3710>,1.51925,1.26825,0.9215,1.1037500000000002
3,2017,2017-09-09,Augsburg,FC Koln,2.06,0.68,1.38,0.9017424564385891,H,0.42016806722689076,0.3225806451612903,0.30303030303030304,<__main__.CalcTeamRatings object at 0x7f936b9d3210>,1.2926176470588238,1.4466764705882353,1.0987941176470588,1.5835000000000001
4,2017,2017-12-16,Augsburg,Freiburg,2.83,1.81,1.02,0.7096942844483829,D,0.5714285714285714,0.2,0.2777777777777778,<__main__.CalcTeamRatings object at 0x7f936b9d35d0>,1.48225,1.2407499999999998,0.9957499999999999,1.9055
5,2017,2018-01-13,Augsburg,Hamburg SV,1.1,0.36,0.7400000000000001,0.903254702896387,H,0.5128205128205129,0.23809523809523808,0.2949852507374631,<__main__.CalcTeamRatings object at 0x7f936b8c0a90>,1.56825,1.27075,0.98475,1.7975000000000003
6,2017,2017-10-21,Augsburg,Hannover 96,0.91,1.06,-0.15000000000000002,0.42429676692114565,A,0.49019607843137253,0.2777777777777778,0.2857142857142857,<__main__.CalcTeamRatings object at 0x7f936b8c0790>,1.438842105263158,1.4867368421052634,0.9199999999999999,1.6433333333333333
7,2017,2017-12-10,Augsburg,Hertha Berlin,1.76,0.78,0.98,0.8358337830545062,D,0.5128205128205129,0.25,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936b8c00d0>,1.4417499999999999,1.25475,0.9804999999999999,1.468
8,2017,2018-03-03,Augsburg,Hoffenheim,0.46,1.64,-1.18,0.07293533710188889,A,0.3460207612456747,0.4081632653061224,0.2949852507374631,<__main__.CalcTeamRatings object at 0x7f936b8c06d0>,1.45325,1.1992499999999997,1.3210000000000002,1.5230000000000001
9,2017,2017-11-04,Augsburg,Leverkusen,1.57,1.2,0.3700000000000001,0.6312325539706523,D,0.2857142857142857,0.49019607843137253,0.2777777777777778,<__main__.CalcTeamRatings object at 0x7f936b8c0cd0>,1.37825,1.40425,1.529078947368421,1.8577894736842104
10,2017,2017-08-26,Augsburg,M'gladbach,3.19,1.35,1.8399999999999999,0.8481072791825713,D,0.3076923076923077,0.4444444444444444,0.29411764705882354,<__main__.CalcTeamRatings object at 0x7f936a776450>,1.1101875,1.4108125,1.2186249999999998,1.4855
11,2017,2018-04-22,Augsburg,Mainz,1.81,0.33,1.48,0.9678286558345642,H,0.45454545454545453,0.2949852507374631,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936a776ad0>,1.3402499999999997,1.30675,0.8987500000000002,1.5535
12,2017,2017-09-19,Augsburg,RB Leipzig,1.29,0.81,0.48,0.71722265321955,H,0.2857142857142857,0.47619047619047616,0.2857142857142857,<__main__.CalcTeamRatings object at 0x7f936a5d12d0>,1.3992777777777778,1.4356111111111112,1.0727941176470588,1.267205882352941
13,2017,2018-05-05,Augsburg,Schalke 04,1.06,2.09,-1.0299999999999998,0.2045996685907825,A,0.2777777777777778,0.47619047619047616,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936a489910>,1.3775,1.2767499999999998,1.29725,1.3312499999999998
14,2017,2018-02-18,Augsburg,Stuttgart,0.38,1.61,-1.23,0.05276813447834825,A,0.49019607843137253,0.26666666666666666,0.2949852507374631,<__main__.CalcTeamRatings object at 0x7f936a49a190>,1.59375,1.1862499999999998,1.059,1.37
15,2017,2018-03-17,Augsburg,Werder Bremen,0.54,2.16,-1.62,0.058823529411764705,A,0.4,0.3225806451612903,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936a5d5950>,1.37325,1.2472499999999997,1.0827499999999999,1.8737500000000002
16,2017,2017-11-25,Augsburg,Wolfsburg,2.11,0.26,1.8499999999999999,0.985043255083302,H,0.42194092827004215,0.3225806451612903,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936a5cf350>,1.3752499999999999,1.29025,1.26125,1.4465
17,2017,2017-11-18,Bayern Munich,Augsburg,1.99,0.44,1.55,0.95339095264463,H,0.8620689655172414,0.06666666666666667,0.125,<__main__.CalcTeamRatings object at 0x7f936a5cf310>,2.7127499999999998,0.9822499999999998,0.9842499999999998,1.5715000000000001
18,2017,2018-03-31,Bayern Munich,Dortmund,4.34,0.62,3.7199999999999998,0.98,H,0.7352941176470588,0.125,0.2,<__main__.CalcTeamRatings object at 0x7f936a5df690>,2.6567499999999997,0.7437499999999999,1.7687499999999998,1.3170000000000002
19,2017,2018-04-28,Bayern Munich,Eintracht Frankfurt,1.68,1.56,0.11999999999999988,0.5369863013698629,H,0.625,0.19047619047619047,0.23094688221709006,<__main__.CalcTeamRatings object at 0x7f936a5dfd90>,2.85275,0.7552499999999999,0.859,1.31975
