,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
523,2016,2016-10-29,1845,German Bundesliga,Augsburg,Bayern Munich,64.9,93.22,0.1471,0.6445,0.2085,0.73,2.06,29.2,54.2,1.0,3.0,0.89,3.94,0.7,2.16,1.05,3.15
286,2016,2016-09-24,1845,German Bundesliga,Augsburg,Darmstadt,64.56,52.02,0.5155,0.2138,0.2706,1.38,0.77,38.6,46.3,1.0,0.0,2.02,0.15,1.53,0.53,1.05,0.0
2260,2016,2017-05-13,1845,German Bundesliga,Augsburg,Dortmund,61.17,87.02,0.185,0.6022,0.2128,0.98,2.05,25.2,0.0,1.0,1.0,1.27,1.97,0.68,2.25,1.05,1.05
798,2016,2016-12-04,1845,German Bundesliga,Augsburg,Eintracht Frankfurt,65.93,73.1,0.364,0.3334,0.3026,1.03,0.95,21.7,69.9,1.0,1.0,0.78,0.6,0.75,0.88,1.05,1.05
1874,2016,2017-04-15,1845,German Bundesliga,Augsburg,FC Koln,58.71,68.07,0.3517,0.3673,0.2809,1.13,1.15,73.0,2.1,2.0,1.0,1.11,1.21,0.72,1.46,2.1,1.05
1574,2016,2017-03-18,1845,German Bundesliga,Augsburg,Freiburg,62.72,65.67,0.4162,0.3095,0.2743,1.3,1.07,38.4,7.8,1.0,1.0,0.95,1.06,1.47,0.54,1.05,1.05
2122,2016,2017-04-30,1845,German Bundesliga,Augsburg,Hamburg SV,58.13,62.32,0.4092,0.3153,0.2755,1.28,1.08,100.0,56.6,4.0,0.0,2.08,0.41,0.56,1.25,3.68,0.0
644,2016,2016-11-19,1845,German Bundesliga,Augsburg,Hertha Berlin,65.85,72.14,0.3718,0.3296,0.2986,1.07,0.96,24.0,55.9,0.0,0.0,1.17,1.39,0.93,1.17,0.0,0.0
1072,2016,2017-01-21,1845,German Bundesliga,Augsburg,Hoffenheim,66.79,72.62,0.3876,0.3247,0.2877,1.15,1.04,21.9,67.2,0.0,2.0,0.41,1.42,0.94,0.44,0.0,2.1
1740,2016,2017-04-05,1845,German Bundesliga,Augsburg,Ingolstadt,60.73,60.81,0.3836,0.3334,0.283,1.18,1.06,,,2.0,3.0,1.45,1.7,1.15,1.61,2.1,3.15
1311,2016,2017-02-17,1845,German Bundesliga,Augsburg,Leverkusen,65.43,77.61,0.3124,0.4078,0.2797,1.06,1.24,17.6,31.5,1.0,3.0,1.63,3.48,0.94,2.17,1.05,3.15
892,2016,2016-12-17,1845,German Bundesliga,Augsburg,M'gladbach,65.36,69.97,0.3988,0.295,0.3063,1.04,0.85,33.7,11.7,1.0,0.0,0.4,0.5,0.79,0.38,1.05,0.0
228,2016,2016-09-18,1845,German Bundesliga,Augsburg,Mainz,65.91,69.25,0.4291,0.2999,0.271,1.32,1.1,26.4,33.4,1.0,3.0,0.87,1.26,0.79,0.82,1.05,2.89
1432,2016,2017-03-03,1845,German Bundesliga,Augsburg,RB Leipzig,64.7,76.98,0.3081,0.4059,0.2861,1.02,1.18,15.9,11.4,2.0,2.0,0.78,0.97,0.36,1.49,2.1,2.1
404,2016,2016-10-15,1845,German Bundesliga,Augsburg,Schalke 04,65.07,71.01,0.3822,0.338,0.2798,1.21,1.1,31.7,22.7,1.0,1.0,0.48,0.93,0.83,0.74,1.05,1.05
1225,2016,2017-02-05,1845,German Bundesliga,Augsburg,Werder Bremen,66.95,62.75,0.4988,0.2296,0.2716,1.38,0.87,18.7,39.8,3.0,2.0,1.95,2.54,1.3,1.13,3.15,2.1
77,2016,2016-08-27,1845,German Bundesliga,Augsburg,Wolfsburg,66.11,74.88,0.3472,0.3901,0.2626,1.29,1.34,27.6,53.4,0.0,2.0,0.56,0.66,1.12,1.16,0.0,1.6
1649,2016,2017-04-01,1845,German Bundesliga,Bayern Munich,Augsburg,94.87,62.73,0.924,0.0137,0.0622,2.69,0.2,2.5,27.7,6.0,0.0,4.04,0.22,4.45,0.2,5.82,0.0
2164,2016,2017-05-06,1845,German Bundesliga,Bayern Munich,Darmstadt,94.51,48.0,0.9622,0.0064,0.0313,3.35,0.2,0.0,0.0,1.0,0.0,3.01,1.22,3.26,0.77,1.05,0.0
1782,2016,2017-04-08,1845,German Bundesliga,Bayern Munich,Dortmund,95.36,87.84,0.7409,0.0854,0.1737,2.09,0.89,0.0,2.8,4.0,1.0,1.79,0.94,1.66,0.82,4.2,1.05
1516,2016,2017-03-11,1845,German Bundesliga,Bayern Munich,Eintracht Frankfurt,94.72,68.3,0.8942,0.0197,0.0861,2.46,0.22,11.1,34.3,3.0,0.0,2.78,0.82,1.39,0.91,3.15,0.0
355,2016,2016-10-01,1845,German Bundesliga,Bayern Munich,FC Koln,94.25,70.08,0.8767,0.0233,0.1,2.37,0.26,72.6,52.5,1.0,1.0,2.45,1.02,3.27,0.59,1.05,1.05
2378,2016,2017-05-20,1845,German Bundesliga,Bayern Munich,Freiburg,93.92,63.01,0.9478,0.0091,0.043,3.07,0.38,0.0,0.0,4.0,1.0,4.39,1.68,4.25,1.54,3.07,1.05
1371,2016,2017-02-25,1845,German Bundesliga,Bayern Munich,Hamburg SV,92.54,63.56,0.9103,0.0165,0.0732,2.58,0.29,22.5,46.5,8.0,0.0,3.59,0.22,2.68,0.2,7.97,0.0
259,2016,2016-09-21,1845,German Bundesliga,Bayern Munich,Hertha Berlin,94.01,71.52,0.8704,0.0246,0.1049,2.33,0.31,,,3.0,0.0,2.88,0.17,2.92,0.26,3.12,0.0
590,2016,2016-11-05,1845,German Bundesliga,Bayern Munich,Hoffenheim,93.71,71.19,0.9237,0.0138,0.0625,2.81,0.54,55.0,62.6,1.0,1.0,1.79,0.23,2.7,0.66,1.05,1.05
200,2016,2016-09-17,1845,German Bundesliga,Bayern Munich,Ingolstadt,94.87,55.39,0.9293,0.0127,0.058,2.78,0.2,73.5,24.7,3.0,1.0,0.44,1.85,2.1,1.67,2.81,1.05
718,2016,2016-11-26,1845,German Bundesliga,Bayern Munich,Leverkusen,92.24,78.03,0.8045,0.0556,0.1399,2.2,0.77,80.5,65.4,2.0,1.0,1.63,1.28,1.89,1.01,2.1,1.05
479,2016,2016-10-22,1845,German Bundesliga,Bayern Munich,M'gladbach,93.17,73.79,0.8819,0.0223,0.0959,2.43,0.5,67.2,63.2,2.0,0.0,1.98,0.73,1.76,0.47,2.1,0.0
1958,2016,2017-04-22,1845,German Bundesliga,Bayern Munich,Mainz,94.7,66.81,0.9198,0.0146,0.0656,2.68,0.27,0.0,32.9,2.0,2.0,0.93,2.4,2.99,0.82,2.1,2.1
938,2016,2016-12-21,1845,German Bundesliga,Bayern Munich,RB Leipzig,92.44,79.18,0.76,0.0659,0.1741,1.93,0.64,,,3.0,0.0,4.85,0.16,2.6,0.31,3.15,0.0
1190,2016,2017-02-04,1845,German Bundesliga,Bayern Munich,Schalke 04,92.76,71.31,0.8595,0.0269,0.1136,2.24,0.35,28.4,13.6,1.0,1.0,1.43,0.93,1.6,0.73,1.05,1.05
70,2016,2016-08-26,1845,German Bundesliga,Bayern Munich,Werder Bremen,93.89,64.54,0.9443,0.0098,0.0459,3.04,0.41,71.8,26.6,6.0,0.0,4.81,0.2,2.89,0.39,6.07,0.0
832,2016,2016-12-10,1845,German Bundesliga,Bayern Munich,Wolfsburg,92.2,69.1,0.8947,0.0196,0.0857,2.52,0.45,71.4,22.7,5.0,0.0,2.26,0.6,1.51,0.89,4.7,0.0
1372,2016,2017-02-25,1845,German Bundesliga,Darmstadt,Augsburg,46.89,63.89,0.349,0.3549,0.2961,1.01,1.03,12.0,30.6,1.0,2.0,0.68,2.08,1.41,1.31,1.05,2.1
918,2016,2016-12-18,1845,German Bundesliga,Darmstadt,Bayern Munich,48.94,92.63,0.1318,0.6826,0.1856,0.66,2.45,41.2,50.7,0.0,1.0,0.92,1.21,0.75,1.61,0.0,1.05
1259,2016,2017-02-11,1845,German Bundesliga,Darmstadt,Dortmund,45.07,86.86,0.156,0.6469,0.1972,0.81,2.32,16.2,49.2,2.0,1.0,1.83,1.94,1.17,1.81,2.1,1.05
129,2016,2016-09-10,1845,German Bundesliga,Darmstadt,Eintracht Frankfurt,54.78,65.46,0.4028,0.3219,0.2753,1.27,1.09,41.8,28.9,1.0,0.0,0.34,1.73,0.34,0.84,1.05,0.0
1131,2016,2017-01-28,1845,German Bundesliga,Darmstadt,FC Koln,48.47,71.29,0.2862,0.4129,0.3009,0.85,1.09,32.7,36.2,1.0,6.0,1.74,2.44,0.8,1.32,1.05,5.41
2067,2016,2017-04-29,1845,German Bundesliga,Darmstadt,Freiburg,45.68,64.23,0.342,0.3908,0.2672,1.22,1.38,0.0,0.0,3.0,0.0,1.57,0.95,1.49,0.89,3.15,0.0
794,2016,2016-12-04,1845,German Bundesliga,Darmstadt,Hamburg SV,51.11,56.64,0.4548,0.2761,0.2691,1.4,1.01,57.1,45.7,0.0,2.0,0.66,2.06,0.97,1.2,0.0,1.59
2264,2016,2017-05-13,1845,German Bundesliga,Darmstadt,Hertha Berlin,49.09,66.69,0.3422,0.3731,0.2847,1.09,1.16,0.0,0.0,0.0,2.0,0.95,1.64,1.01,1.31,0.0,2.1
242,2016,2016-09-20,1845,German Bundesliga,Darmstadt,Hoffenheim,52.18,65.91,0.3653,0.3758,0.2589,1.37,1.36,,,1.0,1.0,1.72,1.56,0.77,1.47,1.05,1.05
643,2016,2016-11-19,1845,German Bundesliga,Darmstadt,Ingolstadt,52.36,53.99,0.436,0.2884,0.2756,1.31,1.0,53.3,52.7,0.0,1.0,1.98,1.05,1.16,1.43,0.0,1.05
1737,2016,2017-04-05,1845,German Bundesliga,Darmstadt,Leverkusen,45.07,74.11,0.2442,0.5159,0.2399,1.08,1.78,,,0.0,2.0,0.58,1.54,0.56,2.04,0.0,2.1
1074,2016,2017-01-21,1845,German Bundesliga,Darmstadt,M'gladbach,48.73,68.59,0.3164,0.3939,0.2897,0.99,1.14,33.4,31.2,0.0,0.0,0.69,1.13,0.68,1.13,0.0,0.0
1518,2016,2017-03-11,1845,German Bundesliga,Darmstadt,Mainz,45.81,67.3,0.3098,0.4114,0.2788,1.03,1.27,2.9,7.8,2.0,1.0,1.65,1.13,1.14,1.59,2.1,1.05
524,2016,2016-10-29,1845,German Bundesliga,Darmstadt,RB Leipzig,53.11,73.45,0.3034,0.4174,0.2792,1.04,1.26,44.4,63.9,0.0,2.0,0.25,1.68,0.41,1.7,0.0,1.81
1924,2016,2017-04-16,1845,German Bundesliga,Darmstadt,Schalke 04,43.56,73.36,0.2457,0.4919,0.2624,0.93,1.55,0.0,0.7,2.0,1.0,1.53,3.08,0.95,2.6,2.1,1.05
351,2016,2016-10-01,1845,German Bundesliga,Darmstadt,Werder Bremen,51.18,61.07,0.3994,0.3364,0.2641,1.41,1.22,48.2,45.0,2.0,2.0,1.48,1.44,0.44,1.56,2.1,2.1
464,2016,2016-10-22,1845,German Bundesliga,Darmstadt,Wolfsburg,51.08,73.61,0.2851,0.4467,0.2682,1.05,1.38,51.0,23.1,3.0,1.0,1.59,0.71,0.98,0.82,3.01,1.05
934,2016,2016-12-20,1845,German Bundesliga,Dortmund,Augsburg,86.81,65.89,0.8016,0.0512,0.1472,2.15,0.48,,,1.0,1.0,2.02,1.28,2.1,0.48,1.05,1.05
659,2016,2016-11-19,1845,German Bundesliga,Dortmund,Bayern Munich,87.01,93.37,0.2896,0.4657,0.2447,1.42,1.7,63.3,79.6,1.0,0.0,1.56,1.19,1.59,2.46,1.05,0.0
196,2016,2016-09-17,1845,German Bundesliga,Dortmund,Darmstadt,87.67,54.59,0.8799,0.0227,0.0974,2.42,0.42,53.1,32.0,6.0,0.0,4.1,0.24,2.81,0.07,5.27,0.0
1875,2016,2017-04-15,1845,German Bundesliga,Dortmund,Eintracht Frankfurt,87.21,69.36,0.7536,0.0709,0.1755,1.91,0.6,7.3,2.0,3.0,1.0,2.45,1.14,1.78,0.77,2.75,1.05
2066,2016,2017-04-29,1845,German Bundesliga,Dortmund,FC Koln,86.99,67.67,0.8098,0.0554,0.1347,2.34,0.65,0.3,0.0,0.0,0.0,2.95,0.26,2.76,0.64,0.0,0.0
278,2016,2016-09-23,1845,German Bundesliga,Dortmund,Freiburg,89.34,68.8,0.8654,0.0331,0.1015,2.54,0.66,36.0,37.3,3.0,1.0,2.69,0.79,2.6,0.34,2.63,1.05
1719,2016,2017-04-04,1845,German Bundesliga,Dortmund,Hamburg SV,87.53,63.86,0.8695,0.0277,0.1028,2.41,0.52,,,3.0,0.0,3.79,1.15,2.32,1.07,2.35,0.0
395,2016,2016-10-14,1845,German Bundesliga,Dortmund,Hertha Berlin,88.5,70.56,0.7901,0.0584,0.1516,2.06,0.66,45.9,55.1,1.0,1.0,2.79,0.87,1.47,0.38,1.05,1.05
2163,2016,2017-05-06,1845,German Bundesliga,Dortmund,Hoffenheim,86.99,78.01,0.6477,0.1506,0.2017,2.01,1.04,0.0,0.0,2.0,1.0,2.7,1.01,1.05,0.56,1.79,1.05
1565,2016,2017-03-17,1845,German Bundesliga,Dortmund,Ingolstadt,88.43,59.31,0.8791,0.0268,0.0941,2.54,0.59,20.3,55.0,1.0,0.0,0.59,1.48,1.26,1.49,1.05,0.0
1442,2016,2017-03-04,1845,German Bundesliga,Dortmund,Leverkusen,87.86,76.16,0.7221,0.1071,0.1708,2.18,1.01,26.7,24.3,6.0,2.0,3.77,0.72,2.13,0.98,5.23,2.1
767,2016,2016-12-03,1845,German Bundesliga,Dortmund,M'gladbach,86.64,71.81,0.7286,0.0962,0.1752,2.07,0.83,60.9,15.2,4.0,1.0,2.43,0.76,2.04,0.4,4.2,1.05
75,2016,2016-08-27,1845,German Bundesliga,Dortmund,Mainz,86.98,70.03,0.7775,0.0683,0.1543,2.1,0.75,57.4,51.6,2.0,1.0,1.96,1.13,1.5,0.68,1.61,1.05
1202,2016,2017-02-04,1845,German Bundesliga,Dortmund,RB Leipzig,86.22,79.63,0.5736,0.1943,0.2321,1.8,1.02,49.2,32.7,1.0,0.0,4.1,0.09,1.78,0.94,1.05,0.0
536,2016,2016-10-29,1845,German Bundesliga,Dortmund,Schalke 04,87.69,72.5,0.7643,0.0798,0.1559,2.18,0.86,44.0,30.4,0.0,0.0,0.99,0.49,1.1,0.78,0.0,0.0
2385,2016,2017-05-20,1845,German Bundesliga,Dortmund,Werder Bremen,86.75,70.98,0.7867,0.0771,0.1362,2.5,1.06,0.0,0.0,4.0,3.0,4.71,2.03,3.25,1.61,4.2,3.15
1320,2016,2017-02-18,1845,German Bundesliga,Dortmund,Wolfsburg,85.71,69.47,0.7604,0.0808,0.1588,2.15,0.83,66.3,15.2,3.0,0.0,2.49,0.32,2.38,0.31,3.15,0.0
1960,2016,2017-04-22,1845,German Bundesliga,Eintracht Frankfurt,Augsburg,69.39,59.14,0.5745,0.1603,0.2652,1.37,0.62,0.5,69.8,3.0,1.0,2.28,0.9,2.2,0.78,2.63,1.05
403,2016,2016-10-15,1845,German Bundesliga,Eintracht Frankfurt,Bayern Munich,67.9,93.82,0.1491,0.646,0.2049,0.79,2.12,36.7,63.0,2.0,2.0,2.41,1.66,1.08,1.7,2.1,2.1
1229,2016,2017-02-05,1845,German Bundesliga,Eintracht Frankfurt,Darmstadt,72.15,45.92,0.6886,0.0932,0.2181,1.63,0.5,67.4,20.5,2.0,0.0,2.45,0.35,1.74,0.46,1.77,0.0
709,2016,2016-11-26,1845,German Bundesliga,Eintracht Frankfurt,Dortmund,72.72,86.93,0.27,0.4864,0.2436,1.21,1.69,61.7,54.5,2.0,1.0,0.66,1.75,0.65,1.79,2.1,1.05
602,2016,2016-11-05,1845,German Bundesliga,Eintracht Frankfurt,FC Koln,72.26,72.53,0.4536,0.2653,0.2811,1.29,0.93,48.2,62.7,1.0,0.0,0.87,0.68,0.94,1.22,1.05,0.0
1487,2016,2017-03-05,1845,German Bundesliga,Eintracht Frankfurt,Freiburg,69.14,64.78,0.5089,0.2235,0.2676,1.4,0.87,33.7,7.2,1.0,2.0,1.96,1.22,1.46,0.98,1.05,2.1
1587,2016,2017-03-18,1845,German Bundesliga,Eintracht Frankfurt,Hamburg SV,68.33,62.79,0.5202,0.2114,0.2683,1.39,0.81,15.1,39.3,0.0,0.0,1.08,0.15,0.64,0.37,0.0,0.0
284,2016,2016-09-24,1845,German Bundesliga,Eintracht Frankfurt,Hertha Berlin,67.86,70.51,0.4149,0.2915,0.2935,1.17,0.9,37.0,53.0,3.0,3.0,1.59,1.1,1.32,0.61,3.15,3.15
824,2016,2016-12-09,1845,German Bundesliga,Eintracht Frankfurt,Hoffenheim,73.19,72.32,0.4709,0.2708,0.2583,1.51,1.1,70.0,61.7,0.0,0.0,0.82,0.19,0.63,0.79,0.0,0.0
1321,2016,2017-02-18,1845,German Bundesliga,Eintracht Frankfurt,Ingolstadt,71.35,58.24,0.5387,0.1853,0.276,1.31,0.68,69.7,48.4,0.0,2.0,1.92,1.34,1.63,0.99,0.0,2.1
198,2016,2016-09-17,1845,German Bundesliga,Eintracht Frankfurt,Leverkusen,65.72,79.73,0.2969,0.4426,0.2606,1.14,1.46,25.6,64.4,2.0,1.0,2.28,2.23,1.04,1.03,2.1,1.05
1666,2016,2017-04-01,1845,German Bundesliga,Eintracht Frankfurt,M'gladbach,68.22,73.03,0.3926,0.3082,0.2992,1.09,0.93,10.6,4.2,0.0,0.0,2.7,0.21,1.94,0.63,0.0,0.0
931,2016,2016-12-20,1845,German Bundesliga,Eintracht Frankfurt,Mainz,72.26,68.09,0.5156,0.2189,0.2655,1.42,0.88,,,3.0,0.0,1.25,1.01,1.31,0.77,2.66,0.0
2380,2016,2017-05-20,1845,German Bundesliga,Eintracht Frankfurt,RB Leipzig,66.93,78.93,0.3091,0.4138,0.2772,1.08,1.27,0.0,0.0,2.0,2.0,1.92,1.5,1.21,0.93,2.1,2.1
79,2016,2016-08-27,1845,German Bundesliga,Eintracht Frankfurt,Schalke 04,64.72,72.01,0.3667,0.3682,0.2651,1.31,1.28,28.8,36.9,1.0,0.0,2.19,1.12,0.84,1.04,1.05,0.0
1756,2016,2017-04-07,1845,German Bundesliga,Eintracht Frankfurt,Werder Bremen,69.14,70.31,0.4457,0.2742,0.2801,1.27,0.97,0.6,1.6,2.0,2.0,2.43,0.54,1.12,1.0,2.1,2.1
2165,2016,2017-05-06,1845,German Bundesliga,Eintracht Frankfurt,Wolfsburg,69.82,68.81,0.469,0.2447,0.2863,1.24,0.84,0.0,51.9,0.0,2.0,1.02,1.63,0.53,0.67,0.0,2.1
706,2016,2016-11-26,1845,German Bundesliga,FC Koln,Augsburg,72.29,65.56,0.5346,0.1905,0.2749,1.33,0.69,55.1,21.0,0.0,0.0,1.28,0.65,1.26,0.76,0.0,0.0
1444,2016,2017-03-04,1845,German Bundesliga,FC Koln,Bayern Munich,71.56,93.65,0.1666,0.6019,0.2315,0.79,1.82,44.8,23.3,0.0,3.0,0.24,1.85,0.87,2.8,0.0,2.65
76,2016,2016-08-27,1845,German Bundesliga,FC Koln,Darmstadt,66.95,56.08,0.5068,0.2196,0.2736,1.34,0.8,30.2,37.6,2.0,0.0,2.64,0.67,1.21,0.97,2.1,0.0
833,2016,2016-12-10,1845,German Bundesliga,FC Koln,Dortmund,70.48,87.46,0.2493,0.5119,0.2388,1.14,1.77,39.2,46.5,1.0,1.0,0.64,0.99,0.92,1.27,1.05,1.05
1721,2016,2017-04-04,1845,German Bundesliga,FC Koln,Eintracht Frankfurt,68.78,69.15,0.4349,0.2688,0.2963,1.18,0.82,,,1.0,0.0,0.37,0.44,0.45,0.85,1.05,0.0
190,2016,2016-09-16,1845,German Bundesliga,FC Koln,Freiburg,68.42,70.04,0.4362,0.2875,0.2763,1.3,1.02,34.7,45.6,3.0,0.0,1.29,1.57,1.44,1.06,3.15,0.0
560,2016,2016-10-30,1845,German Bundesliga,FC Koln,Hamburg SV,71.31,56.51,0.6314,0.1321,0.2365,1.57,0.61,51.1,37.4,3.0,0.0,2.84,0.41,1.5,0.82,2.44,0.0
1573,2016,2017-03-18,1845,German Bundesliga,FC Koln,Hertha Berlin,69.22,71.85,0.4078,0.2888,0.3033,1.11,0.84,20.3,84.9,4.0,2.0,0.76,1.69,0.34,1.55,4.2,2.1
1951,2016,2017-04-21,1845,German Bundesliga,FC Koln,Hoffenheim,67.64,77.72,0.3279,0.4128,0.2593,1.27,1.41,0.1,0.7,1.0,1.0,1.09,1.33,1.24,1.31,1.05,1.05
402,2016,2016-10-15,1845,German Bundesliga,FC Koln,Ingolstadt,71.17,55.81,0.5658,0.1708,0.2634,1.4,0.67,50.5,42.4,2.0,1.0,3.37,1.07,1.24,0.77,2.1,1.05
939,2016,2016-12-21,1845,German Bundesliga,FC Koln,Leverkusen,71.22,77.72,0.3748,0.341,0.2842,1.18,1.11,,,1.0,1.0,0.72,1.87,1.08,1.19,1.05,1.05
1764,2016,2017-04-08,1845,German Bundesliga,FC Koln,M'gladbach,68.88,72.77,0.3991,0.3139,0.2869,1.2,1.0,4.0,0.7,2.0,3.0,0.95,0.84,1.15,1.51,2.1,3.15
2386,2016,2017-05-20,1845,German Bundesliga,FC Koln,Mainz,67.33,70.53,0.4136,0.3189,0.2675,1.37,1.15,0.0,0.0,2.0,0.0,1.14,0.21,1.0,0.37,1.67,0.0
320,2016,2016-09-25,1845,German Bundesliga,FC Koln,RB Leipzig,70.78,70.25,0.4581,0.256,0.2859,1.25,0.86,48.1,41.5,1.0,1.0,0.34,0.79,0.76,1.36,1.05,1.05
1351,2016,2017-02-19,1845,German Bundesliga,FC Koln,Schalke 04,73.05,73.68,0.4396,0.2628,0.2976,1.17,0.83,56.7,19.2,1.0,1.0,0.4,1.98,0.53,1.12,1.05,1.05
2154,2016,2017-05-05,1845,German Bundesliga,FC Koln,Werder Bremen,67.63,71.9,0.4013,0.3373,0.2614,1.4,1.25,0.0,0.0,4.0,3.0,2.68,2.05,0.98,1.85,4.2,3.15
1187,2016,2017-02-04,1845,German Bundesliga,FC Koln,Wolfsburg,73.32,68.41,0.5264,0.2104,0.2632,1.44,0.86,45.2,18.8,1.0,0.0,1.25,0.63,0.99,1.46,1.05,0.0
466,2016,2016-10-22,1845,German Bundesliga,Freiburg,Augsburg,68.22,64.86,0.4921,0.2375,0.2704,1.39,0.87,24.5,28.3,2.0,1.0,1.5,1.29,1.35,1.5,1.9,1.05
1065,2016,2017-01-20,1845,German Bundesliga,Freiburg,Bayern Munich,67.04,93.3,0.1507,0.6512,0.1982,0.85,2.23,19.5,35.6,1.0,2.0,0.72,0.92,0.56,1.59,1.05,2.1
830,2016,2016-12-10,1845,German Bundesliga,Freiburg,Darmstadt,65.3,49.15,0.5826,0.1837,0.2338,1.72,0.91,19.4,46.9,1.0,0.0,1.85,0.6,1.29,0.92,1.05,0.0
1374,2016,2017-02-25,1845,German Bundesliga,Freiburg,Dortmund,66.88,86.57,0.2165,0.5624,0.221,1.16,1.95,15.9,44.8,0.0,3.0,0.44,4.14,0.84,3.13,0.0,3.15
353,2016,2016-10-01,1845,German Bundesliga,Freiburg,Eintracht Frankfurt,68.64,67.93,0.4697,0.2736,0.2567,1.51,1.11,27.1,36.3,1.0,0.0,0.46,0.72,1.27,1.29,1.05,0.0
1296,2016,2017-02-12,1845,German Bundesliga,Freiburg,FC Koln,66.34,73.36,0.3598,0.3559,0.2843,1.17,1.1,7.2,54.4,2.0,1.0,0.84,1.49,1.17,1.34,2.1,1.05
243,2016,2016-09-20,1845,German Bundesliga,Freiburg,Hamburg SV,68.58,59.88,0.5745,0.192,0.2334,1.72,0.95,,,1.0,0.0,1.49,0.84,1.42,0.8,1.05,0.0
1159,2016,2017-01-29,1845,German Bundesliga,Freiburg,Hertha Berlin,67.42,71.01,0.4027,0.3173,0.28,1.27,1.04,12.1,55.4,2.0,1.0,0.61,0.64,1.08,0.99,1.68,1.05
1517,2016,2017-03-11,1845,German Bundesliga,Freiburg,Hoffenheim,65.65,75.73,0.3322,0.4152,0.2526,1.35,1.49,17.5,84.0,1.0,1.0,1.52,1.63,1.15,1.47,1.05,1.05
2258,2016,2017-05-13,1845,German Bundesliga,Freiburg,Ingolstadt,63.85,59.35,0.4384,0.2989,0.2627,1.44,1.13,0.0,53.8,1.0,1.0,1.45,1.64,0.96,2.75,1.05,1.05
2009,2016,2017-04-23,1845,German Bundesliga,Freiburg,Leverkusen,63.65,74.81,0.3239,0.4181,0.258,1.27,1.44,0.0,1.3,2.0,1.0,0.85,1.17,0.92,1.17,2.1,1.05
131,2016,2016-09-10,1845,German Bundesliga,Freiburg,M'gladbach,68.42,75.6,0.3613,0.3814,0.2573,1.39,1.38,29.7,54.6,3.0,1.0,1.65,0.16,1.72,0.43,2.69,1.05
1767,2016,2017-04-08,1845,German Bundesliga,Freiburg,Mainz,64.71,65.75,0.4452,0.2936,0.2612,1.46,1.13,0.4,48.8,1.0,0.0,0.9,0.79,0.9,1.29,1.05,0.0
701,2016,2016-11-25,1845,German Bundesliga,Freiburg,RB Leipzig,66.92,76.87,0.3229,0.4118,0.2652,1.24,1.35,16.0,66.6,1.0,4.0,0.8,1.11,0.55,1.56,1.05,3.98
2222,2016,2017-05-07,1845,German Bundesliga,Freiburg,Schalke 04,61.96,74.7,0.3102,0.4268,0.263,1.19,1.41,0.0,0.0,2.0,0.0,2.4,0.63,1.14,1.04,2.1,0.0
1647,2016,2017-04-01,1845,German Bundesliga,Freiburg,Werder Bremen,65.71,66.96,0.4403,0.3061,0.2536,1.54,1.23,3.6,24.2,2.0,5.0,1.77,1.11,0.9,0.94,2.1,4.84
593,2016,2016-11-05,1845,German Bundesliga,Freiburg,Wolfsburg,69.03,70.87,0.4308,0.3075,0.2617,1.45,1.16,33.0,22.5,0.0,3.0,1.09,2.32,1.03,1.13,0.0,2.73
831,2016,2016-12-10,1845,German Bundesliga,Hamburg SV,Augsburg,58.65,65.87,0.3734,0.3319,0.2947,1.09,0.98,51.4,24.9,1.0,0.0,0.95,1.15,1.38,0.87,1.05,0.0
287,2016,2016-09-24,1845,German Bundesliga,Hamburg SV,Bayern Munich,59.76,94.41,0.1315,0.6866,0.1818,0.68,2.52,47.4,53.9,0.0,1.0,0.44,2.35,0.52,1.58,0.0,1.05
1962,2016,2017-04-22,1845,German Bundesliga,Hamburg SV,Darmstadt,63.76,44.28,0.588,0.1697,0.2423,1.66,0.76,38.9,0.0,1.0,2.0,1.3,1.27,2.39,1.32,1.05,2.1
592,2016,2016-11-05,1845,German Bundesliga,Hamburg SV,Dortmund,55.1,87.06,0.1668,0.6238,0.2094,0.82,2.11,40.1,61.4,2.0,5.0,0.92,3.34,1.18,1.02,2.1,5.09
459,2016,2016-10-21,1845,German Bundesliga,Hamburg SV,Eintracht Frankfurt,58.75,69.8,0.3337,0.3893,0.277,1.12,1.22,44.3,34.8,0.0,3.0,0.22,1.2,0.76,1.81,0.0,3.15
1645,2016,2017-04-01,1845,German Bundesliga,Hamburg SV,FC Koln,63.1,69.52,0.3774,0.343,0.2796,1.21,1.11,41.5,26.9,2.0,1.0,1.44,1.05,1.1,0.66,2.1,1.05
1325,2016,2017-02-18,1845,German Bundesliga,Hamburg SV,Freiburg,63.82,66.67,0.4191,0.3135,0.2675,1.37,1.13,40.5,13.6,2.0,2.0,1.67,1.02,0.87,1.59,2.1,2.1
1491,2016,2017-03-05,1845,German Bundesliga,Hamburg SV,Hertha Berlin,60.85,71.05,0.3361,0.3741,0.2898,1.07,1.1,51.6,63.8,1.0,0.0,0.97,0.4,0.93,1.36,1.05,0.0
1768,2016,2017-04-08,1845,German Bundesliga,Hamburg SV,Hoffenheim,63.34,78.33,0.2806,0.4587,0.2607,1.11,1.45,34.8,7.2,2.0,1.0,0.88,1.43,1.24,1.24,2.1,1.05
