rank,prev_rank,name,league,off,def,spi
278,278,Ural Sverdlovsk Oblast,Russian Premier Liga,1.0,1.16,41.11
279,279,Queens Park Rangers,English League Championship,1.16,1.35,41.06
280,280,Lecce,Italy Serie B,1.1,1.28,41.0
281,281,CA Independiente,Argentina Primera Division,1.02,1.19,40.97
282,282,RKC,Dutch Eredivisie,1.32,1.55,40.92
283,283,Auxerre,French Ligue 2,1.19,1.4,40.72
284,259,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.27,1.49,40.69
285,298,Cuiaba,Brasileiro Série A,1.01,1.19,40.68
286,284,Sparta,Dutch Eredivisie,1.21,1.43,40.68
287,288,Slovan Bratislava,UEFA Europa Conference League,1.16,1.37,40.52
288,286,Viking FK,Norwegian Tippeligaen,1.45,1.72,40.39
289,290,Benevento,Italy Serie B,1.14,1.36,40.2
290,293,Sanfrecce Hiroshima,Japanese J League,1.14,1.37,40.11
291,291,Banfield,Argentina Primera Division,1.01,1.22,40.1
292,309,Minnesota United FC,Major League Soccer,1.36,1.63,40.1
293,292,Huracán,Argentina Primera Division,1.02,1.24,40.05
294,307,Austin FC,Major League Soccer,1.36,1.64,39.85
295,320,Malmo FF,Swedish Allsvenskan,1.18,1.43,39.82
296,295,IF Elfsborg,Swedish Allsvenskan,1.37,1.66,39.74
297,285,Hammarby,Swedish Allsvenskan,1.35,1.63,39.74
298,287,Montreal Impact,Major League Soccer,1.32,1.6,39.73
299,300,Go Ahead Eagles,Dutch Eredivisie,1.23,1.51,39.52
300,301,Bristol City,English League Championship,1.28,1.57,39.49
301,302,AaB,Danish SAS-Ligaen,1.33,1.62,39.45
302,303,KV Mechelen,Belgian Jupiler League,1.45,1.77,39.4
303,296,Colorado Rapids,Major League Soccer,1.24,1.52,39.36
304,305,FC Luzern,Swiss Raiffeisen Super League,1.42,1.74,39.29
305,294,Necaxa,Mexican Primera Division Torneo Apertura,1.12,1.38,39.28
306,322,Portland Timbers,Major League Soccer,1.4,1.72,39.28
307,304,Real Salt Lake,Major League Soccer,1.17,1.45,39.27
308,306,FC Khimki,Russian Premier Liga,1.14,1.41,39.27
309,289,Avaí,Brasileiro Série A,1.14,1.42,39.21
310,308,Willem II,Dutch Eredivisie,1.21,1.5,39.14
311,310,Derby County,English League Championship,1.01,1.27,39.04
312,311,Beijing Guoan,Chinese Super League,1.33,1.64,39.02
313,312,Fortuna Düsseldorf,German 2. Bundesliga,1.14,1.43,38.95
314,313,Paris FC,French Ligue 2,1.08,1.36,38.84
315,314,Parma,Italy Serie B,1.08,1.36,38.77
316,315,Brescia,Italy Serie B,1.08,1.36,38.73
317,317,Goiás,Brasileiro Série A,1.1,1.39,38.68
318,316,Shanghai SIPG,Chinese Super League,1.25,1.57,38.6
319,323,Toluca,Mexican Primera Division Torneo Apertura,1.25,1.57,38.58
320,318,FC Zorya Luhansk,UEFA Europa Conference League,1.1,1.41,38.34
321,319,Central Córdoba Santiago del Estero,Argentina Primera Division,1.05,1.35,38.26
322,321,Swansea City,English League Championship,1.21,1.56,38.09
323,324,Randers FC,Danish SAS-Ligaen,1.14,1.47,37.98
324,367,Vissel Kobe,Japanese J League,1.11,1.44,37.89
325,326,Fatih Karagümrük,Turkish Turkcell Super Lig,1.13,1.46,37.85
326,325,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.12,1.45,37.84
327,328,Guingamp,French Ligue 2,1.18,1.53,37.77
328,337,Juventude,Brasileiro Série A,1.0,1.32,37.64
329,329,Hartberg,Austrian T-Mobile Bundesliga,1.23,1.6,37.59
330,327,Orlando City SC,Major League Soccer,1.25,1.63,37.4
331,331,Birmingham,English League Championship,1.14,1.5,37.36
332,330,Querétaro,Mexican Primera Division Torneo Apertura,1.06,1.41,37.32
333,299,Tijuana,Mexican Primera Division Torneo Apertura,1.13,1.5,37.31
334,332,SC Paderborn,German 2. Bundesliga,1.25,1.64,37.29
335,333,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.4,1.82,37.28
336,335,Rosario Central,Argentina Primera Division,1.23,1.61,37.25
337,336,Kairat Almaty,UEFA Europa Conference League,1.17,1.55,37.23
338,338,Frosinone,Italy Serie B,1.19,1.58,37.06
339,340,Racing Club,Argentina Primera Division,0.95,1.29,36.96
340,341,Sochaux,French Ligue 2,0.95,1.29,36.8
341,342,OH Leuven,Belgian Jupiler League,1.34,1.78,36.73
342,334,Chicago Fire,Major League Soccer,1.18,1.58,36.71
343,343,Belenenses,Portuguese Liga,1.0,1.36,36.69
344,344,Livingston,Scottish Premiership,1.05,1.43,36.64
345,345,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.17,1.58,36.61
346,346,Flora,UEFA Europa Conference League,1.34,1.78,36.57
347,347,Cambuur Leeuwarden,Dutch Eredivisie,1.4,1.86,36.49
348,348,KV Kortrijk,Belgian Jupiler League,1.19,1.61,36.44
349,349,FC St. Pauli,German 2. Bundesliga,1.29,1.73,36.42
350,350,Hatayspor,Turkish Turkcell Super Lig,1.29,1.74,36.33
351,352,Newell's Old Boys,Argentina Primera Division,0.99,1.37,36.06
352,392,FC Juárez,Mexican Primera Division Torneo Apertura,0.97,1.36,35.93
353,355,Fortuna Sittard,Dutch Eredivisie,1.29,1.76,35.92
354,356,Caen,French Ligue 2,1.07,1.48,35.86
355,357,Godoy Cruz,Argentina Primera Division,1.07,1.49,35.85
356,358,Viborg,Danish SAS-Ligaen,1.12,1.56,35.84
357,359,Gimnasia La Plata,Argentina Primera Division,0.94,1.33,35.84
358,360,FC Ufa,Russian Premier Liga,0.89,1.26,35.84
359,354,BK Hacken,Swedish Allsvenskan,1.35,1.84,35.68
360,361,Kayserispor,Turkish Turkcell Super Lig,1.23,1.7,35.67
361,362,Hull City,English League Championship,0.96,1.36,35.67
362,363,Ascoli,Italy Serie B,0.93,1.33,35.62
363,377,San Jose Earthquakes,Major League Soccer,1.33,1.83,35.59
364,364,Odense BK,Danish SAS-Ligaen,1.13,1.58,35.58
365,365,Cremonese,Italy Serie B,1.07,1.51,35.52
366,366,Las Palmas,Spanish Segunda Division,0.95,1.35,35.52
367,368,Dijon FCO,French Ligue 2,1.16,1.62,35.45
368,370,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.2,1.68,35.39
369,389,FC Cincinnati,Major League Soccer,1.33,1.84,35.37
