,Season,Date,Home Team,Away Team,Home Goals,Away Goals,Goal Difference,Pythag,Result,Home Odds,Away Odds,Draw Odds,Object,Home Atk,Home Def,Away Atk,Away Def
0,2017,2018-05-12,Alavés,Ath Bilbao,0.37,1.17,-0.7999999999999999,0.09091512817107186,H,0.4,0.3460207612456747,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936b72cd90>,1.2312500000000002,1.1629999999999998,1.3295,1.5755
1,2017,2018-04-29,Alavés,Ath Madrid,0.56,2.51,-1.9499999999999997,0.04741672588717361,A,0.303951367781155,0.42194092827004215,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936a5dcb10>,1.3122500000000001,1.075,1.12575,1.0910000000000002
2,2017,2017-08-26,Alavés,Barcelona,0.65,2.63,-1.98,0.05756601357059161,A,0.1,0.7751937984496123,0.17391304347826086,<__main__.CalcTeamRatings object at 0x7f936b727510>,1.3272222222222223,1.0525555555555555,2.2851842105263156,1.172078947368421
3,2017,2018-03-12,Alavés,Betis,0.81,1.35,-0.54,0.26470588235294124,A,0.4672897196261682,0.2777777777777778,0.303951367781155,<__main__.CalcTeamRatings object at 0x7f936b727910>,1.316,1.0437499999999997,0.953,1.59875
4,2017,2018-02-03,Alavés,Celta,1.34,1.4,-0.05999999999999983,0.4781126850569816,H,0.38167938931297707,0.35842293906810035,0.3125,<__main__.CalcTeamRatings object at 0x7f936b727d10>,1.17725,1.164,1.1895000000000002,1.7455
5,2017,2017-11-25,Alavés,Eibar,0.46,0.96,-0.49999999999999994,0.18672785033533357,A,0.4,0.3225806451612903,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936a5a62d0>,1.02075,1.3304999999999998,0.7942500000000001,1.81175
6,2017,2017-11-04,Alavés,Espanyol,0.92,0.79,0.13,0.5755865351921114,H,0.3484320557491289,0.37037037037037035,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936a5a6150>,1.08075,1.3119999999999998,0.76425,1.81275
7,2017,2018-04-07,Alavés,Getafe,1.39,0.9,0.4899999999999999,0.7046059589365814,H,0.4081632653061224,0.3125,0.3333333333333333,<__main__.CalcTeamRatings object at 0x7f936b43b5d0>,1.2992500000000002,1.0587499999999999,0.809,1.2112142857142856
8,2017,2018-04-19,Alavés,Girona,0.83,1.74,-0.91,0.18536257231265976,A,0.42194092827004215,0.303951367781155,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936b43b4d0>,1.3162500000000004,1.07275,1.0516666666666667,1.7998333333333334
9,2017,2018-02-17,Alavés,La Coruna,0.73,0.26,0.47,0.8874271440466278,H,0.5263157894736842,0.23094688221709006,0.2949852507374631,<__main__.CalcTeamRatings object at 0x7f936b727e90>,1.21675,1.1400000000000001,0.9862500000000001,1.99775
10,2017,2017-12-08,Alavés,Las Palmas,3.81,0.31,3.5,0.9934233038146206,H,0.4366812227074236,0.3076923076923077,0.3076923076923077,<__main__.CalcTeamRatings object at 0x7f936b43bc90>,0.9812500000000001,1.302,0.8842500000000001,2.0084999999999997
11,2017,2018-01-21,Alavés,Leganes,1.7,1.41,0.29000000000000004,0.5924437793403169,D,0.4672897196261682,0.26666666666666666,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936abae650>,1.1247500000000001,1.225,0.93125,1.3592500000000003
12,2017,2018-03-01,Alavés,Levante,2.55,0.31,2.2399999999999998,0.9854363046706878,H,0.5555555555555556,0.2,0.2949852507374631,<__main__.CalcTeamRatings object at 0x7f936b4d0810>,1.21325,1.0665,0.8415,2.1259166666666665
13,2017,2017-12-21,Alavés,Málaga,1.71,0.3,1.41,0.9701403404001194,H,0.4672897196261682,0.2857142857142857,0.3125,<__main__.CalcTeamRatings object at 0x7f936c3fff10>,1.09725,1.3085,0.625,1.61275
14,2017,2017-09-23,Alavés,Real Madrid,0.69,3.2,-2.5100000000000002,0.04442847677793225,A,0.058823529411764705,0.8547008547008548,0.13333333333333333,<__main__.CalcTeamRatings object at 0x7f936c3ea750>,1.2337500000000001,1.287,2.571441176470588,1.0843235294117646
15,2017,2018-01-14,Alavés,Sevilla,0.55,1.18,-0.6299999999999999,0.17847660628945664,H,0.3076923076923077,0.4366812227074236,0.3076923076923077,<__main__.CalcTeamRatings object at 0x7f936cf3c450>,1.1652500000000001,1.252,1.1655,1.5652499999999998
16,2017,2017-10-14,Alavés,Sociedad,0.55,0.81,-0.26,0.3155643646985187,A,0.2857142857142857,0.46511627906976744,0.29411764705882354,<__main__.CalcTeamRatings object at 0x7f936cf3cb50>,1.20975,1.283,1.166,1.434
17,2017,2017-10-28,Alavés,Valencia,0.76,1.04,-0.28,0.34811957569913204,A,0.16666666666666666,0.625,0.26666666666666666,<__main__.CalcTeamRatings object at 0x7f936acbddd0>,1.1622500000000002,1.2865,1.21625,1.8664999999999998
18,2017,2017-09-17,Alavés,Villarreal,0.55,1.88,-1.3299999999999998,0.07883968829002581,A,0.3225806451612903,0.4166666666666667,0.3225806451612903,<__main__.CalcTeamRatings object at 0x7f936acbdd90>,1.2934473684210528,1.1960263157894735,0.8619705882352942,1.4645294117647056
19,2017,2018-01-07,Ath Bilbao,Alavés,2.54,0.3,2.24,0.9862418980066039,H,0.6024096385542169,0.16666666666666666,0.2857142857142857,<__main__.CalcTeamRatings object at 0x7f936d092410>,1.52725,0.9919999999999999,0.973,1.4585
